Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,135
P3,A1,P2,B1,135
P3,A1,P2,C1,135
P3,A1,P2,D1,135
P3,A1,P2,E1,135
P3,A1,P2,F1,135
P3,A1,P2,A2,135
P3,A1,P2,B2,135
P3,A1,P2,C2,135
P3,A1,P2,D2,135
P3,A1,P2,E2,135
P3,A1,P2,F2,135
P3,A1,P2,A3,135
P3,A1,P2,B3,135
P3,A1,P2,C3,135
P3,A1,P2,D3,135
P3,A1,P2,E3,135
P3,A1,P2,F3,135
P3,A1,P2,A4,135
P3,A1,P2,B4,135
P3,A1,P2,C4,135
P3,A1,P2,D4,135
P3,A1,P2,E4,135
P3,A1,P2,F4,135
P3,A1,P2,A5,135
P3,A1,P2,B5,135
P3,A1,P2,C5,135
P3,A1,P2,D5,135
P3,A1,P2,E5,135
P3,A1,P2,F5,135
P3,A1,P2,A6,135
P3,A1,P2,B6,135
P3,A1,P2,C6,135
P3,A1,P2,D6,135
P3,A1,P2,E6,135
P3,A1,P2,F6,135
P3,A1,P2,A7,135
P3,A1,P2,B7,135
P3,A1,P2,C7,135
P3,A1,P2,D7,135
P3,A1,P2,E7,135
P3,A1,P2,F7,135
P3,A1,P2,A8,135
P3,A1,P2,B8,135
P3,A1,P2,C8,135
P3,A1,P2,D8,135
P3,A1,P2,E8,135
P3,A1,P2,F8,135
